draw,task_a_t10_balanced_accuracy_delta,task_c_macro_f1_delta,task_c_brier_delta
0,0.02454169131,-0.06577275918,0.01858586046
1,0.05166240409,-0.06301308649,0.02831352724
2,0.08924731183,-0.04580143412,0.02522401741
3,0.1222222222,-0.07493110232,0.02545479617
4,0.1222222222,-0.06182785464,0.02577559262
5,0.06666666667,-0.04375927076,0.02224173076
6,0.08333333333,-0.07726647318,0.02567676861
7,0.06031933767,-0.06535144824,0.03049932675
8,0.01892371378,-0.05101597039,0.02275578381
9,0.1,-0.06970234653,0.02521088435
10,0.03962152572,-0.04947664585,0.02470366538
11,0.03469387755,-0.04532245562,0.01949759509
12,0.08333333333,-0.0571838319,0.01892568081
13,0.02167019027,-0.07554643207,0.03067412426
14,0.02454169131,-0.04217391262,0.01686327373
15,0.06990881459,-0.04907097607,0.0186390475
16,0.03273809524,-0.05397845246,0.02181788835
17,-0.1388888889,-0.05614443691,0.02698244319
18,-0.04736842105,-0.0471471851,0.02172556198
19,0.1388888889,-0.05807994769,0.01654598128
20,-0.02808988764,-0.05932944199,0.02144550267
21,0.08928571429,-0.0580254285,0.01844589817
22,-0.01215805471,-0.06771542467,0.02805674581
23,0.03522727273,-0.06675662778,0.02511510032
24,0.03333333333,-0.07639754152,0.03220310881
25,0.1031027796,-0.0561075875,0.02612264741
26,-0.01612903226,-0.04031608086,0.01908389817
27,-0.07004048583,-0.05517294582,0.02676834792
28,0.02954545455,-0.06140966747,0.0268309961
29,0.04516129032,-0.06204087805,0.02510449091
30,0.05,-0.03705262248,0.0149292998
31,0.1133004926,-0.0478259683,0.02300309621
32,0.09659090909,-0.05902672488,0.02132410726
33,-0.01041666667,-0.04623289729,0.0166902027
34,0.08924731183,-0.04011345102,0.02331586119
35,0.009118541033,-0.04954968064,0.02255249731
36,0.1002811621,-0.07563469201,0.02734855666
37,0.01486748546,-0.06318052697,0.02126853988
38,0.148728563,-0.07526537462,0.0242609264
39,0.1163227017,-0.0498484768,0.02362284287
40,0.08403805497,-0.0496425171,0.02252256274
41,0.09895833333,-0.05924718998,0.01772593226
42,0.1829545455,-0.03820931623,0.01026540998
43,-0.07303370787,-0.02444454626,0.01809096641
44,0.1662404092,-0.04915818,0.02186700505
45,0.1466587818,-0.05290387968,0.02766889691
46,0.07291666667,-0.05296646329,0.02185162888
47,-0.004301075269,-0.08762115538,0.03647347107
48,0.02386363636,-0.04734887728,0.0271172123
49,0.08101714962,-0.0679552072,0.02140926103
50,0.03645833333,-0.02749674511,0.01725014163
51,-0.04671791839,-0.06550624759,0.02318590879
52,0.04619565217,-0.06369335522,0.02187712931
53,0.08630952381,-0.04558982735,0.02137304297
54,0.03440860215,-0.07269929493,0.02373950201
55,0.04483695652,-0.07981453179,0.03266052304
56,0.150937298,-0.04583876409,0.01898612968
57,0.04492600423,-0.02743822733,0.01686137061
58,0.01666666667,-0.04299974036,0.007703638432
59,0.003799392097,-0.05791913319,0.02039153139
60,0.06657608696,-0.04198740321,0.02131847677
61,-0.008906882591,-0.03756359265,0.01891577436
62,0.03532608696,-0.05483261884,0.02142635141
63,0.04166666667,-0.05156389884,0.01760034621
64,0.07293868922,-0.04463447427,0.02627643221
65,0.06765327696,-0.0491094458,0.02013696154
66,0.09619450317,-0.06192987304,0.01759961388
67,0.01975683891,-0.06507921343,0.02576675641
68,0.07544517338,-0.07753111053,0.03159158188
69,0.2173913043,-0.04624086874,0.02061969879
70,0.02887537994,-0.0473132893,0.01668695883
71,0.1,-0.06936117115,0.02523827246
72,0.06990881459,-0.04445724774,0.01729016891
73,0.03888888889,-0.05516941966,0.02822014185
